Rank,Destination,Travel & Tourism Development Index ranking 2024 [7],International tourist arrivals (2019)(Million),International tourist arrivals (2018)(Million),Change (2018 to 2019) (%),Change (2017 to 2018) (%)
1,Egypt,61,13,11.3,14.8,36.8
2,Morocco,82,12.9,12.3,5.2,8.3
3,South Africa,55,10.2,10.5,2.3,1.8
4,Tunisia,83,9.4,8.3,13.6,17.7
5,Algeria,98,2.4,2.7,10.8,8.4
6,Zimbabwe,110,2.3,2.6,10.8,5.9
7,Mozambique,-,2,2.7,26.4,89.6
8,Ivory Coast,114,0,2,0,9.2
9,Kenya,77,0,1.9,0,15.4
10,Botswana,75,0,1.7,0,2
