Rank,Destination,International tourist arrivals (2023)[9][10],International tourist arrivals (2022)[5],International tourist arrivals (2021)[5],Change (2022 to 2023) (%),Change (2021 to 2022) (%),Change (2020 to 2021) (%)
1,United States,66.4 million,50.7 million,22.2 million,30.7,128.3,16.0
2,Mexico,42.1 million,38.3 million,31.8 million,9.5,20.3,28.3
3,Canada,18.3 million,12.8 million,3.0 million,43.0,326.6,3.4
4,Dominican Republic,8.0 million,7.1 million,4.9 million,12.5,43.4,107.6
5,Argentina,7.2 million,3.8 million,0.3 million,87.3,1207.7,85.8
6,Brazil,5.9 million,3.6 million,0.7 million,62.8,386.5,65.2
7,Colombia,5.6 million,4.5 million,2.1 million,24.6,112.5,69.9
8,Puerto Rico,5.0 million,4.2 million,2.7 million,19.2,53.6,5.2
9,Uruguay,3.8 million,2.4 million,0.2 million,55.5,824.9,70.9
10,Jamaica,2.8 million,2.4 million,1.4 million,16.0,69.2,66.3
