Rank,Destination,International tourist arrivals (2023)[4],International tourist arrivals (2022)[3],Change (2022 to 2023) (%),Change (2021 to 2022) (%)
1,France,100 million,79.4 million,25.9,64
2,Spain,85.2 million,71.7 million,18.8,130
3,United States,66.5 million,50.9 million,30.6,130
4,Italy,57.2 million,49.8 million,14.8,85
5,Turkey,55.2 million,50.5 million,9.3,69
6,Mexico,42.2 million,38.3 million,10.1,20
7,United Kingdom,37.2 million,30.7 million,21.1,389
8,Germany,34.8 million,28.5 million,22.1,144
9,Greece,32.7 million,27.8 million,17.6,89
10,Austria,30.9 million,26.2 million,17.9,106
